LONGITUDE,LATITUDE,LABEL,KML_STYLE
100° 51' 08.8744" W,25° 27' 00.9190" N,ARTEAGA,m_ylw-pushpin
100° 55' 47.0000" W,25° 32' 46.0000" N,VOR SLW,m_ylw-pushpin
101° 13' 22.2864" W,25° 33' 20.9258" N,SAN MARTIN DE LAS VACAS,m_ylw-pushpin
100° 50' 13.2872" W,25° 33' 32.5318" N,CAÃ‘ON,m_ylw-pushpin
101° 05' 54.2829" W,25° 13' 45.4233" N,DERRAMADERO,m_ylw-pushpin
101° 00' 00.5457" W,25° 24' 44.7005" N,MIRADOR,m_ylw-pushpin
101° 13' 30.1200" W,26° 00' 00.2671" N,PRESA NORIAS,m_ylw-pushpin
102° 10' 38.0953" W,25° 26' 55.7436" N,PARRAS,m_ylw-pushpin
101° 03' 07.4271" W,25° 44' 56.2081" N,VALLE DEL MIMBRE,m_ylw-pushpin
100° 35' 08.9020" W,25° 48' 03.3747" N,GARCIA,m_ylw-pushpin
